name,overview,description,keywords
motionviz-afterimage-trail,Afterimage trail effect.,"Faint silhouettes follow moving objects, communicating inertia and direction.","afterimage, trail, inertia, ghost, motion"
motionviz-trajectory-trace,Trajectory tracing.,Paths are drawn as fading arcs or lines to make motion patterns visible.,"trajectory, arc, trace, fade, path"
motionviz-elastic-deformation,Elastic deformation feedback.,Shapes briefly distort and recover to visualize force without textures.,"deformation, elastic, squash, stretch, feedback"
motionviz-energy-glow-build,Glow build-up visualization.,Glow intensity increases gradually to represent energy accumulation visually.,"energy, buildup, glow, charge, intensity"
background-noise-field,Procedural noise field background.,Animated noise or grain provides subtle depth and motion behind minimal foreground elements.,"noise, grain, procedural, depth, field"
background-wave-field,Wave-based background motion.,Sine or circular waves propagate across the backdrop to imply rhythm and flow.,"wave, sine, propagation, rhythm, flow"
background-fractal-motif,Fractal-inspired repetition.,Recursive motifs generate richness using simple algorithmic rules.,"fractal, recursion, pattern, procedural, motif"
background-flow-lines,Flow-line vector field.,Streamline patterns suggest invisible currents in the environment.,"flow lines, vector field, current, motion, field"
background-particle-layer,Sparse particle layer.,Drifting particles add scale and atmosphere while preserving abstraction.,"particles, drift, atmosphere, space, depth"
background-distorted-grid,Distorted grid backdrop.,"A grid subtly bends or ripples, implying curvature in an abstract space.","grid, distortion, warp, curvature, sci-fi"
background-moire-pattern,Moire interference texture.,Overlapping line sets generate animated interference patterns.,"moire, interference, pattern, lines, phase"
background-cellular-evolution,Cellular pattern evolution.,Blocky or organic cell structures evolve slowly in the background.,"cellular, automaton, evolution, pattern, procedural"
lighting-rim-band,Rim-light band around shapes.,A bright band along edges enhances volume perception on flat fills.,"rim light, band, volume, silhouette, glow"
lighting-depth-fade,Depth-based brightness fade.,Brightness or saturation decreases with implied distance layers.,"depth fade, atmospheric, layers, distance, cue"
lighting-layered-fog,Layered fog gradients.,Soft fog bands separate spatial layers without detailed assets.,"fog, gradient, layers, atmosphere, depth"
lighting-additive-glow,Additive glow compositing.,Glow is composited additively to create intensity peaks in simple scenes.,"additive, glow, compositing, bloom, light"
lighting-vignette-frame,Subtle vignette framing.,Edge darkening or framing shapes focus attention within minimal composition.,"vignette, framing, focus, composition, edge"
analog-micro-jitter,Micro positional jitter.,Tiny per-frame offsets create a subtle analog vibration.,"jitter, analog, vibration, micro, movement"
analog-subpixel-shimmer,Subpixel shimmer effect.,Fractional pixel movement produces delicate shimmering in vector-like scenes.,"subpixel, shimmer, fine motion, sparkle, subtle"
analog-line-noise-warp,Noise-warped line paths.,Stroke paths are gently perturbed by noise to avoid sterile geometry.,"warp, noise, line, organic, distortion"
analog-chromatic-offset,Slight chromatic separation.,Small RGB offsets along bright edges evoke lens artifacts lightly.,"chromatic, RGB split, lens, neon, offset"
analog-luminance-pulse,Low-frequency luminance pulse.,"Overall brightness oscillates slowly, adding life to static minimal visuals.","luminance, pulse, breathing, ambient, subtle"
analog-frame-blend,Frame blending ghosting.,Subtle blending between frames produces a soft trailing effect.,"ghosting, blend, smear, motion, afterimage"
typography-objectification,Typography as world objects.,Letters and numbers function as geometric entities within the playfield.,"typography, glyph, letters, numbers, abstract"
typography-pattern-field,Glyph-based pattern fields.,Repeated glyphs form borders or textures while remaining legible.,"glyph, pattern, repetition, symbols, texture"
typography-weight-hierarchy,Hierarchy through type weight.,Bold and light weights structure the screen visually.,"bold, weight, hierarchy, layout, clarity"
typography-numeric-focus,Numeric-centric composition.,Numbers dominate the visual field as structural elements.,"numbers, score, timer, arcade, UI"
typography-kinetic-motion,Kinetic typography integration.,"Text rotates, scales, or drifts as part of the visual motion language.","kinetic type, motion, rotation, scale, animation"
typography-geometry-blend,Fusion of type and geometry.,Glyph contours merge with geometric primitives to form cohesive shapes.,"fusion, glyph, geometry, mask, outline"
composition-negative-space,Negative space dominant layout.,Large empty regions are intentionally preserved to heighten focus and contrast.,"negative space, minimal, clarity, focus, layout"
composition-centered-stage,Centered stage composition.,A clean central field anchors the visual experience.,"centered, stage, margins, balance, clarity"
composition-asymmetric-void,Asymmetric void structure.,Empty space is distributed unevenly to create tension.,"asymmetry, void, tension, composition, modern"
composition-density-gradient,Density gradient layout.,Visual density transitions from sparse to dense areas.,"density, gradient, hierarchy, flow, emphasis"
composition-microdetail-island,Microdetail focal island.,A small region contains intricate detail within an otherwise simple field.,"microdetail, focal point, contrast, restraint, detail"
composition-zoned-structure,Segmented zoned layout.,The screen is divided into visually distinct zones via spacing or subtle tonal change.,"zones, segmentation, layout, panels, structure"
